"","time","atm"
"117",2022-09-10 04:00:00,1012.45068181083
"118",2022-09-10 05:00:00,1011.80168795797
"119",2022-09-10 06:00:00,1010.64088005928
"120",2022-09-10 07:00:00,1009.76575740841
"121",2022-09-10 08:00:00,1008.92349932651
"122",2022-09-10 09:00:00,1008.30011983293
"123",2022-09-10 10:00:00,1008.61266449353
"124",2022-09-10 11:00:00,1009.45085691188
"125",2022-09-10 12:00:00,1010.56390414871
"126",2022-09-10 13:00:00,1011.63286084613
"127",2022-09-10 14:00:00,1012.52837442738
"128",2022-09-10 15:00:00,1012.61111621767
"129",2022-09-10 16:00:00,1012.50422277014
"130",2022-09-10 17:00:00,1011.91098370151
"131",2022-09-10 18:00:00,1011.37994244139
"132",2022-09-10 19:00:00,1010.71260832435
"133",2022-09-10 20:00:00,1010.27425532202
"134",2022-09-10 21:00:00,1010.34248103448
"135",2022-09-10 22:00:00,1010.2759987335
"136",2022-09-10 23:00:00,1010.46026546336
"137",2022-09-11 00:00:00,1010.97894360011
"138",2022-09-11 01:00:00,1011.41326397198
"139",2022-09-11 02:00:00,1011.50861382004
"140",2022-09-11 03:00:00,1011.19449113447
"141",2022-09-11 04:00:00,1010.83093833513
"142",2022-09-11 05:00:00,1010.23074731878
"143",2022-09-11 06:00:00,1009.23328952047
"144",2022-09-11 07:00:00,1008.33852842899
"145",2022-09-11 08:00:00,1007.55109841056
"146",2022-09-11 09:00:00,1006.9707894907
"147",2022-09-11 10:00:00,1007.32691204203
"148",2022-09-11 11:00:00,1008.07433489625
"149",2022-09-11 12:00:00,1008.67239525862
"150",2022-09-11 13:00:00,1009.41838437079
"151",2022-09-11 14:00:00,1010.39241411638
"152",2022-09-11 15:00:00,1010.49475637295
"153",2022-09-11 16:00:00,1010.17092454203
"154",2022-09-11 17:00:00,1010.05637367286
"155",2022-09-11 18:00:00,1009.57742788254
"156",2022-09-11 19:00:00,1008.92752091081
"157",2022-09-11 20:00:00,1008.71576632543
"158",2022-09-11 21:00:00,1008.73711630288
"159",2022-09-11 22:00:00,1008.68075858179
"160",2022-09-11 23:00:00,1009.2443769084
"161",2022-09-12 00:00:00,1009.8859052816
"162",2022-09-12 01:00:00,1010.52970625
"163",2022-09-12 02:00:00,1010.63543217462
"164",2022-09-12 03:00:00,1010.49274046336
"165",2022-09-12 04:00:00,1010.15869261655
"166",2022-09-12 05:00:00,1009.41581675647
"167",2022-09-12 06:00:00,1008.55786841822
"168",2022-09-12 07:00:00,1007.39085189976
"169",2022-09-12 08:00:00,1006.47497966056
"170",2022-09-12 09:00:00,1006.08541729992
"171",2022-09-12 10:00:00,1006.47597830773
