1,"ellipsoid",1.30245750767827,0.647576391002437,2.64974720819486,-1627857.12155311,5728450.61258042,2276104.43053596,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520363769573415,"red",-1627472.91762817,5728818.72115034,2275457.12581473,-1627865.13645943,5728450.30734862,2276099.49975173,-1628238.92300754,5728074.05222325,2276748.35340132
2,"ellipsoid",1.80129107447932,0.895594280691671,5.06809890043178,-1627857.92169023,5728449.84596872,2276105.77860236,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520363731039201,"red",-1627438.6156105,5728851.58645471,2275399.33394002,-1627866.66865716,5728449.51285395,2276100.39746295,-1628274.60575392,5728038.88160258,2276808.53234721
5,"ellipsoid",2.8088102837205,1.39652827565628,12.323157879881,-1627860.32209003,5728447.54614141,2276109.82278232,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520363615436547,"red",-1627349.99296276,5728936.49758146,2275250.02290291,-1627870.96788608,5728447.14071013,2276103.27348847,-1628367.45986633,5727947.36880125,2276965.13025916
10,"ellipsoid",3.9535684928574,1.96569642518086,24.4149358547734,-1627864.322718,5728443.71312171,2276116.56301831,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769774,0.520363422765423,"red",-1627230.70008259,5729050.79547495,2275049.03873048,-1627877.54015353,5728443.20975978,2276108.43163476,-1628493.98274764,5727822.69328786,2277178.50913389
20,"ellipsoid",5.57793222545332,2.77332088277831,48.598540588965,-1627872.32383001,5728436.04717913,2276130.04325041,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520363037423047,"red",-1627045.52021776,5729228.22448326,2274737.04823517,-1627889.57063571,5728435.39036608,2276119.43299324,-1628693.9562514,5727625.68435562,2277515.75858028
50,"ellipsoid",8.80690495886497,4.37874165149674,121.149745069146,-1627896.32601435,5728413.05012622,2276170.48202743,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520361881394898,"red",-1626659.26200426,5729598.33165601,2274086.28046856,-1627922.12801979,5728412.06750251,2276154.60860601,-1629125.65151469,5727200.56382105,2278243.78919198
100,"ellipsoid",12.4489585702898,6.1895286001853,242.069720287734,-1627936.32671264,5728374.72342854,2276237.87370617,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520359954677914,"red",-1626220.88972802,5730018.40010362,2273347.73770214,-1627972.10003604,5728373.36114246,2276215.86572958,-1629641.03116503,5726693.3317478,2279112.89930052
200,"ellipsoid",17.6014557289459,8.75125259812933,483.914549514989,-1628016.31282747,5728298.08056967,2276372.63297605,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520356101231182,"red",-1625613.86178091,5730600.196597,2272325.01780289,-1628066.39623022,5728296.17334174,2276341.82135677,-1630403.73102329,5725943.16949076,2280399.0812519
500,"ellipsoid",27.8271944669159,13.8350997080384,1209.48807044737,-1628256.15616756,5728068.22937192,2276776.71912868,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520344540788877,"red",-1624475.49097118,5731691.77676787,2270407.05756742,-1628334.89217419,5728065.23103567,2276728.2802764,-1632013.16485087,5724361.70566157,2283113.06455042
1000,"ellipsoid",39.3536982814311,19.565178683043,2418.90739852858,-1628655.51236036,5727685.4015786,2277449.5582585,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520325273044674,"red",-1623306.49674864,5732813.95091097,2268437.42130798,-1628766.7249743,5727681.16653229,2277381.13967347,-1633971.07370643,5722439.68981868,2286414.56719064
2000,"ellipsoid",55.6574860839244,27.668947765408,4838.0026573251,-1629452.79432845,5726920.70886262,2278792.85267305,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769774,0.520286736279909,"red",-1621865.57367698,5734200.39513038,2266009.39984322,-1629610.01478716,5726914.72188618,2278696.13000801,-1636992.63328251,5719475.47606101,2291509.53223339
5000,"ellipsoid",88.0288584561157,43.7528627572056,12099.8898553847,-1631833.29043078,5724634.27661706,2282803.82066307,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520171115774766,"red",-1619650.54391353,5736348.08514502,2262275.89053955,-1632083.19664651,5724624.76052215,2282650.07823603,-1643940.40239751,5712657.63964825,2303225.06964404
10000,"ellipsoid",124.554469722777,61.8863052559519,24216.0745513456,-1635763.5617011,5720848.66994693,2289426.7313365,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.519978380896813,"red",-1618079.54016515,5737911.70502138,2259625.23655344,-1636120.15807557,5720835.09209441,2289207.3551816,-1653339.04147646,5703411.20574566,2319074.95269054
1,"plane",1.30245750767827,0.647576391002437,2.64974720819486,-1627857.11830265,5728450.61269723,2276104.43255376,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520363769573415,"red",-1627474.47985033,5728818.66079898,2275456.16687758,-1627865.14241847,5728450.29839618,2276099.51789955,-1628237.35428677,5728074.11280815,2276749.31637265
2,"plane",1.80129107447932,0.895594280691671,5.06809890043178,-1627857.91519088,5728449.84620137,2276105.7826406,"1351961100","-13404911.059","7197831.34","21410222.819","PG01",TRUE,0.593572555769775,0.520363731039201,"red",-1627440.31761135,5728851.5206946,2275398.28922679,-1627866.67240705,5728449.503191,2276100.41895839,-1628272.89075713,5728038.94782788,2276809.58513522
